,Athlete Name,Medal Type,Medal Date,Country Code,Gender,Sport Discipline
0,Remco EVENEPOEL,Gold Medal,27 JUL,BEL,M,Cycling Road
1,Filippo GANNA,Silver Medal,27 JUL,ITA,M,Cycling Road
2,Wout van AERT,Bronze Medal,27 JUL,BEL,M,Cycling Road
3,Grace BROWN,Gold Medal,27 JUL,AUS,W,Cycling Road
4,Anna HENDERSON,Silver Medal,27 JUL,GBR,W,Cycling Road
5,Chloe DYGERT,Bronze Medal,27 JUL,USA,W,Cycling Road
7,OH Sanguk,Gold Medal,27 JUL,KOR,M,Fencing
8,Fares FERJANI,Silver Medal,27 JUL,TUN,M,Fencing
9,Luigi SAMELE,Bronze Medal,27 JUL,ITA,M,Fencing
10,KONG Man Wai Vivian,Gold Medal,27 JUL,HKG,W,Fencing
11,Auriane MALLO-BRETON,Silver Medal,27 JUL,FRA,W,Fencing
12,Eszter MUHARI,Bronze Medal,27 JUL,HUN,W,Fencing
13,Yeldos SMETOV,Gold Medal,27 JUL,KAZ,M,Judo
14,Luka MKHEIDZE,Silver Medal,27 JUL,FRA,M,Judo
15,NAGAYAMA Ryuju,Bronze Medal,27 JUL,JPN,M,Judo
16,Francisco GARRIGOS,Bronze Medal,27 JUL,ESP,M,Judo
17,TSUNODA Natsumi,Gold Medal,27 JUL,JPN,W,Judo
18,Baasankhuu BAVUUDORJ,Silver Medal,27 JUL,MGL,W,Judo
19,Shirine BOUKLI,Bronze Medal,27 JUL,FRA,W,Judo
20,Tara BABULFATH,Bronze Medal,27 JUL,SWE,W,Judo
24,Lukas MAERTENS,Gold Medal,27 JUL,GER,M,Swimming
25,Elijah WINNINGTON,Silver Medal,27 JUL,AUS,M,Swimming
26,KIM Woomin,Bronze Medal,27 JUL,KOR,M,Swimming
27,Ariarne TITMUS,Gold Medal,27 JUL,AUS,W,Swimming
28,Summer McINTOSH,Silver Medal,27 JUL,CAN,W,Swimming
29,Katie LEDECKY,Bronze Medal,27 JUL,USA,W,Swimming
31,Jessica FOX,Gold Medal,28 JUL,AUS,W,Canoe Slalom
32,Klaudia ZWOLINSKA,Silver Medal,28 JUL,POL,W,Canoe Slalom
33,Kimberley WOODS,Bronze Medal,28 JUL,GBR,W,Canoe Slalom
34,Pauline FERRAND PREVOT,Gold Medal,28 JUL,FRA,W,Cycling Mountain Bike
35,Haley BATTEN,Silver Medal,28 JUL,USA,W,Cycling Mountain Bike
36,Jenny RISSVEDS,Bronze Medal,28 JUL,SWE,W,Cycling Mountain Bike
37,KANO Koki,Gold Medal,28 JUL,JPN,M,Fencing
38,Yannick BOREL,Silver Medal,28 JUL,FRA,M,Fencing
39,Mohamed ELSAYED,Bronze Medal,28 JUL,EGY,M,Fencing
40,Lee KIEFER,Gold Medal,28 JUL,USA,W,Fencing
41,Lauren SCRUGGS,Silver Medal,28 JUL,USA,W,Fencing
42,Eleanor HARVEY,Bronze Medal,28 JUL,CAN,W,Fencing
43,ABE Hifumi,Gold Medal,28 JUL,JPN,M,Judo
44,Willian LIMA,Silver Medal,28 JUL,BRA,M,Judo
45,Gusman KYRGYZBAYEV,Bronze Medal,28 JUL,KAZ,M,Judo
46,Denis VIERU,Bronze Medal,28 JUL,MDA,M,Judo
47,Diyora KELDIYOROVA,Gold Medal,28 JUL,UZB,W,Judo
48,Distria KRASNIQI,Silver Medal,28 JUL,KOS,W,Judo
49,Larissa PIMENTA,Bronze Medal,28 JUL,BRA,W,Judo
50,Amandine BUCHARD,Bronze Medal,28 JUL,FRA,W,Judo
51,XIE Yu,Gold Medal,28 JUL,CHN,M,Shooting
52,Federico Nilo MALDINI,Silver Medal,28 JUL,ITA,M,Shooting
53,Paolo MONNA,Bronze Medal,28 JUL,ITA,M,Shooting
54,OH Ye Jin,Gold Medal,28 JUL,KOR,W,Shooting
55,KIM Yeji,Silver Medal,28 JUL,KOR,W,Shooting
56,Manu BHAKER,Bronze Medal,28 JUL,IND,W,Shooting
57,YOSHIZAWA Coco,Gold Medal,28 JUL,JPN,W,Skateboarding
58,AKAMA Liz,Silver Medal,28 JUL,JPN,W,Skateboarding
59,Rayssa LEAL,Bronze Medal,28 JUL,BRA,W,Skateboarding
60,Nicolo MARTINENGHI,Gold Medal,28 JUL,ITA,M,Swimming
61,Adam PEATY,Silver Medal,28 JUL,GBR,M,Swimming
62,Nic FINK,Silver Medal,28 JUL,USA,M,Swimming
63,Leon MARCHAND,Gold Medal,28 JUL,FRA,M,Swimming
64,MATSUSHITA Tomoyuki,Silver Medal,28 JUL,JPN,M,Swimming
65,Carson FOSTER,Bronze Medal,28 JUL,USA,M,Swimming
66,Torri HUSKE,Gold Medal,28 JUL,USA,W,Swimming
67,Gretchen WALSH,Silver Medal,28 JUL,USA,W,Swimming
68,ZHANG Yufei,Bronze Medal,28 JUL,CHN,W,Swimming
71,Nicolas GESTIN,Gold Medal,29 JUL,FRA,M,Canoe Slalom
72,Adam BURGESS,Silver Medal,29 JUL,GBR,M,Canoe Slalom
73,Matej BENUS,Bronze Medal,29 JUL,SVK,M,Canoe Slalom
74,Thomas PIDCOCK,Gold Medal,29 JUL,GBR,M,Cycling Mountain Bike
75,Victor KORETZKY,Silver Medal,29 JUL,FRA,M,Cycling Mountain Bike
76,Alan HATHERLY,Bronze Medal,29 JUL,RSA,M,Cycling Mountain Bike
78,Michael JUNG,Gold Medal,29 JUL,GER,O,Equestrian
79,Christopher BURTON,Silver Medal,29 JUL,AUS,O,Equestrian
80,Laura COLLETT,Bronze Medal,29 JUL,GBR,O,Equestrian
82,CHEUNG Ka Long,Gold Medal,29 JUL,HKG,M,Fencing
83,Filippo MACCHI,Silver Medal,29 JUL,ITA,M,Fencing
84,Nick ITKIN,Bronze Medal,29 JUL,USA,M,Fencing
85,Manon APITHY-BRUNET,Gold Medal,29 JUL,FRA,W,Fencing
86,Sara BALZER,Silver Medal,29 JUL,FRA,W,Fencing
87,Olga KHARLAN,Bronze Medal,29 JUL,UKR,W,Fencing
88,Hidayat HEYDAROV,Gold Medal,29 JUL,AZE,M,Judo
89,Joan-Benjamin GABA,Silver Medal,29 JUL,FRA,M,Judo
90,Adil OSMANOV,Bronze Medal,29 JUL,MDA,M,Judo
91,HASHIMOTO Soichi,Bronze Medal,29 JUL,JPN,M,Judo
92,Christa DEGUCHI,Gold Medal,29 JUL,CAN,W,Judo
93,HUH Mimi,Silver Medal,29 JUL,KOR,W,Judo
94,FUNAKUBO Haruka,Bronze Medal,29 JUL,JPN,W,Judo
95,Sarah Leonie CYSIQUE,Bronze Medal,29 JUL,FRA,W,Judo
96,SHENG Lihao,Gold Medal,29 JUL,CHN,M,Shooting
97,Victor LINDGREN,Silver Medal,29 JUL,SWE,M,Shooting
98,Miran MARICIC,Bronze Medal,29 JUL,CRO,M,Shooting
99,BAN Hyojin,Gold Medal,29 JUL,KOR,W,Shooting
100,HUANG Yuting,Silver Medal,29 JUL,CHN,W,Shooting
101,Audrey GOGNIAT,Bronze Medal,29 JUL,SUI,W,Shooting
102,HORIGOME Yuto,Gold Medal,29 JUL,JPN,M,Skateboarding
103,Jagger EATON,Silver Medal,29 JUL,USA,M,Skateboarding
104,Nyjah HUSTON,Bronze Medal,29 JUL,USA,M,Skateboarding
105,Thomas CECCON,Gold Medal,29 JUL,ITA,M,Swimming
106,XU Jiayu,Silver Medal,29 JUL,CHN,M,Swimming
107,Ryan MURPHY,Bronze Medal,29 JUL,USA,M,Swimming
108,David POPOVICI,Gold Medal,29 JUL,ROU,M,Swimming
109,Matthew RICHARDS,Silver Medal,29 JUL,GBR,M,Swimming
110,Luke HOBSON,Bronze Medal,29 JUL,USA,M,Swimming
111,Tatjana SMITH,Gold Medal,29 JUL,RSA,W,Swimming
112,TANG Qianting,Silver Medal,29 JUL,CHN,W,Swimming
113,Mona Mc SHARRY,Bronze Medal,29 JUL,IRL,W,Swimming
114,Mollie O'CALLAGHAN,Gold Medal,29 JUL,AUS,W,Swimming
115,Ariarne TITMUS,Silver Medal,29 JUL,AUS,W,Swimming
116,HAUGHEY Siobhan Bernadette,Bronze Medal,29 JUL,HKG,W,Swimming
117,Summer McINTOSH,Gold Medal,29 JUL,CAN,W,Swimming
118,Katie GRIMES,Silver Medal,29 JUL,USA,W,Swimming
119,Emma WEYANT,Bronze Medal,29 JUL,USA,W,Swimming
120,NAGASE Takanori,Gold Medal,30 JUL,JPN,M,Judo
121,Tato GRIGALASHVILI,Silver Medal,30 JUL,GEO,M,Judo
122,LEE Joonhwan,Bronze Medal,30 JUL,KOR,M,Judo
123,Somon MAKHMADBEKOV,Bronze Medal,30 JUL,TJK,M,Judo
124,Andreja LESKI,Gold Medal,30 JUL,SLO,W,Judo
125,Prisca AWITI ALCARAZ,Silver Medal,30 JUL,MEX,W,Judo
126,Clarisse AGBEGNENOU,Bronze Medal,30 JUL,FRA,W,Judo
127,Laura FAZLIU,Bronze Medal,30 JUL,KOS,W,Judo
130,Nathan HALES,Gold Medal,30 JUL,GBR,M,Shooting
131,QI Ying,Silver Medal,30 JUL,CHN,M,Shooting
132,Jean Pierre BROL CARDENAS,Bronze Medal,30 JUL,GUA,M,Shooting
134,Daniel WIFFEN,Gold Medal,30 JUL,IRL,M,Swimming
135,Bobby FINKE,Silver Medal,30 JUL,USA,M,Swimming
136,Gregorio PALTRINIERI,Bronze Medal,30 JUL,ITA,M,Swimming
137,Kaylee McKEOWN,Gold Medal,30 JUL,AUS,W,Swimming
138,Regan SMITH,Silver Medal,30 JUL,USA,W,Swimming
139,Katharine BERKOFF,Bronze Medal,30 JUL,USA,W,Swimming
140,WANG/SUN,Gold Medal,30 JUL,CHN,X,Table Tennis
141,RI/KIM,Silver Medal,30 JUL,PRK,X,Table Tennis
142,LIM/SHIN,Bronze Medal,30 JUL,KOR,X,Table Tennis
143,OKA Shinnosuke,Gold Medal,31 JUL,JPN,M,Artistic Gymnastics
144,ZHANG Boheng,Silver Medal,31 JUL,CHN,M,Artistic Gymnastics
145,XIAO Ruoteng,Bronze Medal,31 JUL,CHN,M,Artistic Gymnastics
146,Jessica FOX,Gold Medal,31 JUL,AUS,W,Canoe Slalom
147,Elena LILIK,Silver Medal,31 JUL,GER,W,Canoe Slalom
148,Evy LEIBFARTH,Bronze Medal,31 JUL,USA,W,Canoe Slalom
149,Jose TORRES GIL,Gold Medal,31 JUL,ARG,M,Cycling BMX Freestyle
150,Kieran Darren David REILLY,Silver Medal,31 JUL,GBR,M,Cycling BMX Freestyle
151,Anthony JEANJEAN,Bronze Medal,31 JUL,FRA,M,Cycling BMX Freestyle
152,DENG Yawen,Gold Medal,31 JUL,CHN,W,Cycling BMX Freestyle
153,Perris BENEGAS,Silver Medal,31 JUL,USA,W,Cycling BMX Freestyle
154,Natalya DIEHM,Bronze Medal,31 JUL,AUS,W,Cycling BMX Freestyle
155,DPR Korea,Silver Medal,31 JUL,PRK,W,Diving
158,Lasha BEKAURI,Gold Medal,31 JUL,GEO,M,Judo
159,MURAO Sanshiro,Silver Medal,31 JUL,JPN,M,Judo
160,Maxime-Gael NGAYAP HAMBOU,Bronze Medal,31 JUL,FRA,M,Judo
161,Theodoros TSELIDIS,Bronze Medal,31 JUL,GRE,M,Judo
162,Barbara MATIC,Gold Medal,31 JUL,CRO,W,Judo
163,Miriam BUTKEREIT,Silver Medal,31 JUL,GER,W,Judo
164,Michaela POLLERES,Bronze Medal,31 JUL,AUT,W,Judo
165,Gabriella WILLEMS,Bronze Medal,31 JUL,BEL,W,Judo
167,Adriana RUANO OLIVA,Gold Medal,31 JUL,GUA,W,Shooting
168,Silvana Maria STANCO,Silver Medal,31 JUL,ITA,W,Shooting
169,Penny SMITH,Bronze Medal,31 JUL,AUS,W,Shooting
170,PAN Zhanle,Gold Medal,31 JUL,CHN,M,Swimming
171,Kyle CHALMERS,Silver Medal,31 JUL,AUS,M,Swimming
172,David POPOVICI,Bronze Medal,31 JUL,ROU,M,Swimming
173,Leon MARCHAND,Gold Medal,31 JUL,FRA,M,Swimming
174,Zac STUBBLETY-COOK,Silver Medal,31 JUL,AUS,M,Swimming
175,Caspar CORBEAU,Bronze Medal,31 JUL,NED,M,Swimming
176,Leon MARCHAND,Gold Medal,31 JUL,FRA,M,Swimming
177,Kristof MILAK,Silver Medal,31 JUL,HUN,M,Swimming
178,Ilya KHARUN,Bronze Medal,31 JUL,CAN,M,Swimming
179,Sarah SJOESTROEM,Gold Medal,31 JUL,SWE,W,Swimming
180,Torri HUSKE,Silver Medal,31 JUL,USA,W,Swimming
181,HAUGHEY Siobhan Bernadette,Bronze Medal,31 JUL,HKG,W,Swimming
182,Katie LEDECKY,Gold Medal,31 JUL,USA,W,Swimming
183,Anastasiia KIRPICHNIKOVA,Silver Medal,31 JUL,FRA,W,Swimming
184,Isabel GOSE,Bronze Medal,31 JUL,GER,W,Swimming
185,Alex YEE,Gold Medal,31 JUL,GBR,M,Triathlon
186,Hayden WILDE,Silver Medal,31 JUL,NZL,M,Triathlon
187,Leo BERGERE,Bronze Medal,31 JUL,FRA,M,Triathlon
188,Cassandre BEAUGRAND,Gold Medal,31 JUL,FRA,W,Triathlon
189,Julie DERRON,Silver Medal,31 JUL,SUI,W,Triathlon
190,Beth POTTER,Bronze Medal,31 JUL,GBR,W,Triathlon
191,Simone BILES,Gold Medal,01 AUG,USA,W,Artistic Gymnastics
192,Rebeca ANDRADE,Silver Medal,01 AUG,BRA,W,Artistic Gymnastics
193,Sunisa LEE,Bronze Medal,01 AUG,USA,W,Artistic Gymnastics
194,Brian Daniel PINTADO,Gold Medal,01 AUG,ECU,M,Athletics
195,Caio BONFIM,Silver Medal,01 AUG,BRA,M,Athletics
196,Alvaro MARTIN,Bronze Medal,01 AUG,ESP,M,Athletics
197,YANG Jiayu,Gold Medal,01 AUG,CHN,W,Athletics
198,Maria PEREZ,Silver Medal,01 AUG,ESP,W,Athletics
199,Jemima MONTAG,Bronze Medal,01 AUG,AUS,W,Athletics
200,Giovanni de GENNARO,Gold Medal,01 AUG,ITA,M,Canoe Slalom
201,Titouan CASTRYCK,Silver Medal,01 AUG,FRA,M,Canoe Slalom
202,Pau ECHANIZ,Bronze Medal,01 AUG,ESP,M,Canoe Slalom
203,Zelym KOTSOIEV,Gold Medal,01 AUG,AZE,M,Judo
204,Ilia SULAMANIDZE,Silver Medal,01 AUG,GEO,M,Judo
205,Peter PALTCHIK,Bronze Medal,01 AUG,ISR,M,Judo
206,Muzaffarbek TUROBOYEV,Bronze Medal,01 AUG,UZB,M,Judo
207,Alice BELLANDI,Gold Medal,01 AUG,ITA,W,Judo
208,Inbar LANIR,Silver Medal,01 AUG,ISR,W,Judo
209,MA Zhenzhao,Bronze Medal,01 AUG,CHN,W,Judo
210,Patricia SAMPAIO,Bronze Medal,01 AUG,POR,W,Judo
214,LIU Yukun,Gold Medal,01 AUG,CHN,M,Shooting
215,Serhiy KULISH,Silver Medal,01 AUG,UKR,M,Shooting
216,Swapnil KUSALE,Bronze Medal,01 AUG,IND,M,Shooting
217,Hubert KOS,Gold Medal,01 AUG,HUN,M,Swimming
218,Apostolos CHRISTOU,Silver Medal,01 AUG,GRE,M,Swimming
220,Kate DOUGLASS,Gold Medal,01 AUG,USA,W,Swimming
221,Tatjana SMITH,Silver Medal,01 AUG,RSA,W,Swimming
222,Tes SCHOUTEN,Bronze Medal,01 AUG,NED,W,Swimming
223,Summer McINTOSH,Gold Medal,01 AUG,CAN,W,Swimming
224,Regan SMITH,Silver Medal,01 AUG,USA,W,Swimming
225,ZHANG Yufei,Bronze Medal,01 AUG,CHN,W,Swimming
227,Joshua CHEPTEGEI,Gold Medal,02 AUG,UGA,M,Athletics
228,Berihu AREGAWI,Silver Medal,02 AUG,ETH,M,Athletics
229,Grant FISHER,Bronze Medal,02 AUG,USA,M,Athletics
230,ZHENG/HUANG,Gold Medal,02 AUG,CHN,X,Badminton
231,KIM/JEONG,Silver Medal,02 AUG,KOR,X,Badminton
232,WATANABE/HIGASHINO,Bronze Medal,02 AUG,JPN,X,Badminton
233,Joris DAUDET,Gold Medal,02 AUG,FRA,M,Cycling BMX Racing
234,Sylvain ANDRE,Silver Medal,02 AUG,FRA,M,Cycling BMX Racing
235,Romain MAHIEU,Bronze Medal,02 AUG,FRA,M,Cycling BMX Racing
236,Saya SAKAKIBARA,Gold Medal,02 AUG,AUS,W,Cycling BMX Racing
237,Manon VEENSTRA,Silver Medal,02 AUG,NED,W,Cycling BMX Racing
238,Zoe CLAESSENS,Bronze Medal,02 AUG,SUI,W,Cycling BMX Racing
241,Teddy RINER,Gold Medal,02 AUG,FRA,M,Judo
242,KIM Minjong,Silver Medal,02 AUG,KOR,M,Judo
243,Temur RAKHIMOV,Bronze Medal,02 AUG,TJK,M,Judo
244,Alisher YUSUPOV,Bronze Medal,02 AUG,UZB,M,Judo
245,Beatriz SOUZA,Gold Medal,02 AUG,BRA,W,Judo
246,Raz HERSHKO,Silver Medal,02 AUG,ISR,W,Judo
247,KIM Hayun,Bronze Medal,02 AUG,KOR,W,Judo
251,BOTIN/TRITTEL,Gold Medal,02 AUG,ESP,M,Sailing
252,McHARDIE/McKENZIE,Silver Medal,02 AUG,NZL,M,Sailing
253,BARROWS/HENKEN,Bronze Medal,02 AUG,USA,M,Sailing
254,AANHOLT/DUETZ,Gold Medal,02 AUG,NED,W,Sailing
255,BOBECK/NETZLER,Silver Medal,02 AUG,SWE,W,Sailing
256,STEYAERT/PICON,Bronze Medal,02 AUG,FRA,W,Sailing
257,Chiara LEONE,Gold Medal,02 AUG,SUI,W,Shooting
258,Sagen MADDALENA,Silver Medal,02 AUG,USA,W,Shooting
259,ZHANG Qiongyue,Bronze Medal,02 AUG,CHN,W,Shooting
260,Leon MARCHAND,Gold Medal,02 AUG,FRA,M,Swimming
261,Duncan SCOTT,Silver Medal,02 AUG,GBR,M,Swimming
262,WANG Shun,Bronze Medal,02 AUG,CHN,M,Swimming
263,Cameron McEVOY,Gold Medal,02 AUG,AUS,M,Swimming
264,Benjamin PROUD,Silver Medal,02 AUG,GBR,M,Swimming
265,Florent MANAUDOU,Bronze Medal,02 AUG,FRA,M,Swimming
266,Kaylee McKEOWN,Gold Medal,02 AUG,AUS,W,Swimming
267,Regan SMITH,Silver Medal,02 AUG,USA,W,Swimming
268,Kylie MASSE,Bronze Medal,02 AUG,CAN,W,Swimming
269,SINIAKOVA/MACHAC,Gold Medal,02 AUG,CZE,X,Tennis
270,WANG/ZHANG,Silver Medal,02 AUG,CHN,X,Tennis
271,DABROWSKI/AUGER-ALIAS,Bronze Medal,02 AUG,CAN,X,Tennis
272,Iga SWIATEK,Bronze Medal,02 AUG,POL,W,Tennis
273,Ivan LITVINOVICH,Gold Medal,02 AUG,AIN,M,Trampoline Gymnastics
274,WANG Zisai,Silver Medal,02 AUG,CHN,M,Trampoline Gymnastics
275,YAN Langyu,Bronze Medal,02 AUG,CHN,M,Trampoline Gymnastics
276,Bryony PAGE,Gold Medal,02 AUG,GBR,W,Trampoline Gymnastics
277,Viyaleta BARDZILOUSKAYA,Silver Medal,02 AUG,AIN,W,Trampoline Gymnastics
278,Sophiane METHOT,Bronze Medal,02 AUG,CAN,W,Trampoline Gymnastics
279,LIM Sihyeon,Gold Medal,03 AUG,KOR,W,Archery
280,NAM Suhyeon,Silver Medal,03 AUG,KOR,W,Archery
281,Lisa BARBELIN,Bronze Medal,03 AUG,FRA,W,Archery
282,Carlos Edriel YULO,Gold Medal,03 AUG,PHI,M,Artistic Gymnastics
283,Artem DOLGOPYAT,Silver Medal,03 AUG,ISR,M,Artistic Gymnastics
284,Jake JARMAN,Bronze Medal,03 AUG,GBR,M,Artistic Gymnastics
285,Rhys MC CLENAGHAN,Gold Medal,03 AUG,IRL,M,Artistic Gymnastics
286,Nariman KURBANOV,Silver Medal,03 AUG,KAZ,M,Artistic Gymnastics
287,Stephen NEDOROSCIK,Bronze Medal,03 AUG,USA,M,Artistic Gymnastics
288,Simone BILES,Gold Medal,03 AUG,USA,W,Artistic Gymnastics
289,Rebeca ANDRADE,Silver Medal,03 AUG,BRA,W,Artistic Gymnastics
290,Jade CAREY,Bronze Medal,03 AUG,USA,W,Artistic Gymnastics
292,Markus ROOTH,Gold Medal,03 AUG,NOR,M,Athletics
293,Leo NEUGEBAUER,Silver Medal,03 AUG,GER,M,Athletics
294,Lindon VICTOR,Bronze Medal,03 AUG,GRN,M,Athletics
295,Ryan CROUSER,Gold Medal,03 AUG,USA,M,Athletics
296,Joe KOVACS,Silver Medal,03 AUG,USA,M,Athletics
297,Rajindra CAMPBELL,Bronze Medal,03 AUG,JAM,M,Athletics
298,Julien ALFRED,Gold Medal,03 AUG,LCA,W,Athletics
299,Sha'carri RICHARDSON,Silver Medal,03 AUG,USA,W,Athletics
300,Melissa JEFFERSON,Bronze Medal,03 AUG,USA,W,Athletics
301,Thea LAFOND,Gold Medal,03 AUG,DMA,W,Athletics
302,Shanieka RICKETTS,Silver Medal,03 AUG,JAM,W,Athletics
303,Jasmine MOORE,Bronze Medal,03 AUG,USA,W,Athletics
304,CHEN/JIA,Gold Medal,03 AUG,CHN,W,Badminton
305,LIU/TAN,Silver Medal,03 AUG,CHN,W,Badminton
306,MATSUYAMA/SHIDA,Bronze Medal,03 AUG,JPN,W,Badminton
307,WU Shih Yi,Bronze Medal,03 AUG,TPE,W,Boxing
308,Beatriz Iasmin SOARES FERREIRA,Bronze Medal,03 AUG,BRA,W,Boxing
309,Remco EVENEPOEL,Gold Medal,03 AUG,BEL,M,Cycling Road
310,Valentin MADOUAS,Silver Medal,03 AUG,FRA,M,Cycling Road
311,Christophe LAPORTE,Bronze Medal,03 AUG,FRA,M,Cycling Road
