Athlete Name,Medal Type,Medal Date,Country Code,Gender,Sport Discipline
China,Gold Medal,7/31/2024,CHN,F,Diving
DPR Korea,Silver Medal,7/31/2024,PRK,F,Diving
CHEN Nien Chin,Bronze Medal,8/6/2024,TPE,F,Boxing
United States,Silver Medal,7/30/2024,USA,M,Swimming
Chermen VALIEV,Bronze Medal,8/10/2024,ALB,M,Wrestling
CHIA/SOH,Bronze Medal,8/4/2024,MAS,M,Badminton
Barbara MATIC,Gold Medal,7/31/2024,CRO,F,Judo
Miriam BUTKEREIT,Silver Medal,7/31/2024,GER,F,Judo
PAN Zhanle,Gold Medal,7/31/2024,CHN,M,Swimming
Kyle CHALMERS,Silver Medal,7/31/2024,AUS,M,Swimming
Leon MARCHAND,Gold Medal,7/31/2024,FRA,M,Swimming
Zac STUBBLETY-COOK,Silver Medal,7/31/2024,AUS,M,Swimming
Chloe DYGERT,Bronze Medal,7/27/2024,USA,F,Cycling Road
Kristof MILAK,Silver Medal,7/31/2024,HUN,M,Swimming
CHOE Hyo Gyong,Bronze Medal,8/8/2024,PRK,F,Wrestling
Sarah SJOESTROEM,Gold Medal,7/31/2024,SWE,F,Swimming
Torri HUSKE,Silver Medal,7/31/2024,USA,F,Swimming
Christophe LAPORTE,Bronze Medal,8/3/2024,FRA,M,Cycling Road
Katie LEDECKY,Gold Medal,7/31/2024,USA,F,Swimming
Anastasiia KIRPICHNIKOVA,Silver Medal,7/31/2024,FRA,F,Swimming
Cindy Winner DJANKEU NGAMBA,Bronze Medal,8/8/2024,EOR,F,Boxing
Alex YEE,Gold Medal,7/31/2024,GBR,M,Triathlon
Hayden WILDE,Silver Medal,7/31/2024,NZL,M,Triathlon
Cristian Javier PINALES,Bronze Medal,8/4/2024,DOM,M,Boxing
Cassandre BEAUGRAND,Gold Medal,7/31/2024,FRA,F,Triathlon
Julie DERRON,Silver Medal,7/31/2024,SUI,F,Triathlon
Cyrian RAVET,Bronze Medal,8/7/2024,FRA,M,Taekwondo
Czechia,Bronze Medal,8/2/2024,CZE,M,Fencing
Daniel WIFFEN,Bronze Medal,8/4/2024,IRL,M,Swimming
Dauren KURUGLIEV,Bronze Medal,8/9/2024,GRE,M,Wrestling
Great Britain,Gold Medal,7/31/2024,GBR,F,Rowing
Adriana RUANO OLIVA,Gold Medal,7/31/2024,GUA,F,Shooting
Silvana Maria STANCO,Silver Medal,7/31/2024,ITA,F,Shooting
Simone BILES,Gold Medal,8/1/2024,USA,F,Artistic Gymnastics
Rebeca ANDRADE,Silver Medal,8/1/2024,BRA,F,Artistic Gymnastics
David BETLEHEM,Bronze Medal,8/9/2024,HUN,M,Marathon Swimming
Brian Daniel PINTADO,Gold Medal,8/1/2024,ECU,M,Athletics
Caio BONFIM,Silver Medal,8/1/2024,BRA,M,Athletics
David de PINA,Bronze Medal,8/4/2024,CPV,M,Boxing
YANG Jiayu,Gold Medal,8/1/2024,CHN,F,Athletics
Maria PEREZ,Silver Medal,8/1/2024,ESP,F,Athletics
David POPOVICI,Bronze Medal,7/31/2024,ROU,M,Swimming
Giovanni de GENNARO,Gold Medal,8/1/2024,ITA,M,Canoe Slalom
Titouan CASTRYCK,Silver Medal,8/1/2024,FRA,M,Canoe Slalom
Davlat BOLTAEV,Bronze Medal,8/4/2024,TJK,M,Boxing
United States,Gold Medal,8/1/2024,USA,F,Fencing
Italy,Silver Medal,8/1/2024,ITA,F,Fencing
Denis VIERU,Bronze Medal,7/28/2024,MDA,M,Judo
Zelym KOTSOIEV,Gold Medal,8/1/2024,AZE,M,Judo
Ilia SULAMANIDZE,Silver Medal,8/1/2024,GEO,M,Judo
Alice BELLANDI,Gold Medal,8/1/2024,ITA,F,Judo
Inbar LANIR,Silver Medal,8/1/2024,ISR,F,Judo
Djamel SEDJATI,Bronze Medal,8/10/2024,ALG,M,Athletics
Djamili-Dini ABOUDOU MOINDZE,Bronze Medal,8/7/2024,FRA,M,Boxing
Romania,Gold Medal,8/1/2024,ROU,M,Rowing
Netherlands,Silver Medal,8/1/2024,NED,M,Rowing
Edi HRNIC,Bronze Medal,8/9/2024,DEN,M,Taekwondo
United States,Gold Medal,8/1/2024,USA,M,Rowing
New Zealand,Silver Medal,8/1/2024,NZL,M,Rowing
Edival PONTES,Bronze Medal,8/8/2024,BRA,M,Taekwondo
New Zealand,Gold Medal,8/1/2024,NZL,F,Rowing
Romania,Silver Medal,8/1/2024,ROU,F,Rowing
Eleanor HARVEY,Bronze Medal,7/28/2024,CAN,F,Fencing
Netherlands,Gold Medal,8/1/2024,NED,F,Rowing
Great Britain,Silver Medal,8/1/2024,GBR,F,Rowing
Eleanor PATTERSON,Bronze Medal,8/4/2024,AUS,F,Athletics
LIU Yukun,Gold Medal,8/1/2024,CHN,M,Shooting
Serhiy KULISH,Silver Medal,8/1/2024,UKR,M,Shooting
Eleftherios PETROUNIAS,Bronze Medal,8/4/2024,GRE,M,Artistic Gymnastics
Hubert KOS,Gold Medal,8/1/2024,HUN,M,Swimming
Apostolos CHRISTOU,Silver Medal,8/1/2024,GRE,M,Swimming
Emily CAMPBELL,Bronze Medal,8/11/2024,GBR,F,Weightlifting
Kate DOUGLASS,Gold Medal,8/1/2024,USA,F,Swimming
Tatjana SMITH,Silver Medal,8/1/2024,RSA,F,Swimming
Emma Aastrand JORGENSEN,Bronze Medal,8/10/2024,DEN,F,Canoe Sprint
Summer McINTOSH,Gold Medal,8/1/2024,CAN,F,Swimming
Regan SMITH,Silver Medal,8/1/2024,USA,F,Swimming
Emma FINUCANE,Bronze Medal,8/8/2024,GBR,F,Cycling Track
Australia,Gold Medal,8/1/2024,AUS,F,Swimming
United States,Silver Medal,8/1/2024,USA,F,Swimming
Emma FINUCANE,Bronze Medal,8/11/2024,GBR,F,Cycling Track
Joshua CHEPTEGEI,Gold Medal,8/2/2024,UGA,M,Athletics
Berihu AREGAWI,Silver Medal,8/2/2024,ETH,M,Athletics
Emma WEYANT,Bronze Medal,7/29/2024,USA,F,Swimming
Joris DAUDET,Gold Medal,8/2/2024,FRA,M,Cycling BMX Racing
Sylvain ANDRE,Silver Medal,8/2/2024,FRA,M,Cycling BMX Racing
Emma WILSON,Bronze Medal,8/3/2024,GBR,F,Sailing
Saya SAKAKIBARA,Gold Medal,8/2/2024,AUS,F,Cycling BMX Racing
Manon VEENSTRA,Silver Medal,8/2/2024,NED,F,Cycling BMX Racing
Emmanouil KARALIS,Bronze Medal,8/5/2024,GRE,M,Athletics
China,Gold Medal,8/2/2024,CHN,M,Diving
Mexico,Silver Medal,8/2/2024,MEX,M,Diving
Enmanuel REYES PLA,Bronze Medal,8/4/2024,ESP,M,Boxing
Hungary,Gold Medal,8/2/2024,HUN,M,Fencing
Japan,Silver Medal,8/2/2024,JPN,M,Fencing
Esra YILDIZ KAHRAMAN,Bronze Medal,8/7/2024,TUR,F,Boxing
Teddy RINER,Gold Medal,8/2/2024,FRA,M,Judo
KIM Minjong,Silver Medal,8/2/2024,KOR,M,Judo
Eszter MUHARI,Bronze Medal,7/27/2024,HUN,F,Fencing
Evy LEIBFARTH,Bronze Medal,7/31/2024,USA,F,Canoe Slalom
Beatriz SOUZA,Gold Medal,8/2/2024,BRA,F,Judo
Raz HERSHKO,Silver Medal,8/2/2024,ISR,F,Judo
Fabio van den BOSSCHE,Bronze Medal,8/8/2024,BEL,M,Cycling Track
Faith CHEROTICH,Bronze Medal,8/6/2024,KEN,F,Athletics
Ireland,Gold Medal,8/2/2024,IRL,M,Rowing
Italy,Silver Medal,8/2/2024,ITA,M,Rowing
Felix LEBRUN,Bronze Medal,8/4/2024,FRA,M,Table Tennis
Great Britain,Gold Medal,8/2/2024,GBR,F,Rowing
Romania,Silver Medal,8/2/2024,ROU,F,Rowing
Femke BOL,Bronze Medal,8/8/2024,NED,F,Athletics
Croatia,Gold Medal,8/2/2024,CRO,M,Rowing
Great Britain,Silver Medal,8/2/2024,GBR,M,Rowing
FENG Ziqi,Bronze Medal,8/7/2024,CHN,F,Wrestling
Netherlands,Gold Medal,8/2/2024,NED,F,Rowing
Florent MANAUDOU,Bronze Medal,8/2/2024,FRA,M,Swimming
BOTIN/TRITTEL,Gold Medal,8/2/2024,ESP,M,Sailing
McHARDIE/McKENZIE,Silver Medal,8/2/2024,NZL,M,Sailing
AANHOLT/DUETZ,Gold Medal,8/2/2024,NED,F,Sailing
